Hostname;VRF_Name;Route-Distinguisher
CDI4MU;poderjudicial-vpn;7303:454
CDI4MU;darclibertador-vpn;7303:147
CDI4MU;vpn-personal-S1MME;7303:1728
CDI4MU;garbacontenidos-vpn;7303:1385
CDI4MU;vpn-personal-gomran;7303:1729
CDI4MU;vpn-personal-iub-3G;7303:2282
CDI4MU;tasabancofrances-vpn;10834:83143
CDI4MU;vpn-personal-abis-2G;7303:2283
CDI4MU;vpn-ldip-tasa-1083484674;7303:84674
CDI4MU;vrf-ftth-toip-symphonica;7303:200026
MUN1NA;CDNBD-VPN;7303:1413
MUN1NA;dcn-gestion;7303:1204
MUN1NA;vpn-edge-anevia;7303:2594
MUN1NA;vpn-servicio-iris-hub;102:01:00
ROE1.HOR1;TMS;10481:6
ROE1.SLO1;TMS;10481:6
BEL6MU;bna-vpn;7303:149
BEL6MU;hsbc-vpn;7303:279
BEL6MU;toip-vpn;7303:1004
BEL6MU;vpn-gpba;7303:26:00
BEL6MU;Burger-ST;10481:14027
BEL6MU;clama-vpn;7303:459
BEL6MU;sepsa-vpn;7303:256
BEL6MU;visa2-vpn;7303:747
BEL6MU;vpn-prima;7303:23:00
BEL6MU;aa2000-vpn;7303:784
BEL6MU;bonesi-vpn;7303:73
BEL6MU;correo-vpn;7303:707
BEL6MU;diaarg-vpn;7303:594
BEL6MU;ituran-vpn;7303:546
BEL6MU;maxima-vpn;7303:507
BEL6MU;simons-vpn;7303:1219
BEL6MU;solido-vpn;7303:479
BEL6MU;vpn-gire-1;7303:81
BEL6MU;vpn-jockey;7303:46:00
BEL6MU;fravega-vpn;7303:1059
BEL6MU;munisam-vpn;7303:90
BEL6MU;ospecom-vpn;7303:103
BEL6MU;vpn-advance;7303:42:00
BEL6MU;vpn-wpatron;7303:129
BEL6MU;citibank-vpn;7303:509
BEL6MU;vpn-gecomtel;7303:146
BEL6MU;vpn-williner;7303:157
BEL6MU;asmuprofa-vpn;7303:1017
BEL6MU;ddeipteco-vpn;7303:2259
BEL6MU;garbarino-vpn;7303:182
BEL6MU;hipodromo-vpn;7303:162
BEL6MU;iptv-dhcp-vpn;7303:2986
BEL6MU;tasabapro-vpn;10834:97015
BEL6MU;vpn-credicoop;7303:78
BEL6MU;alpargatas-vpn;7303:601
BEL6MU;arcosdora2-vpn;7303:1154
BEL6MU;bcogalicia-vpn;7303:347
BEL6MU;maquetamat-vrf;7303:3022
BEL6MU;qbeasegura-vpn;7303:1435
BEL6MU;vpn-vestiditos;7303:127
BEL6MU;argentconec-vpn;7303:1226
BEL6MU;cjuleriaque-vpn;7303:980
BEL6MU;firstdatart-vpn;7303:1428
BEL6MU;hipodromo-3-vpn;7303:433
BEL6MU;ncentralarg-vpn;7303:249
BEL6MU;wifioffload-vpn;7303:1312
BEL6MU;unigestopems-vpn;7303:1471
BEL6MU;vpn-ges-sspopusa;7303:21:00
BEL6MU;vpn-gestion-adsl;200:01:00
BEL6MU;vpn-ngn-nacional;7303:58:00
BEL6MU;vpn-tdata-bcorio;200:12:00
BEL6MU;minerva-flow-prod;7303:2992
BEL6MU;poderjudicial-vpn;7303:454
BEL6MU;vpn-test-cio-temp;7303:200600
BEL6MU;darclibertador-vpn;7303:147
BEL6MU;garbacontenidos-vpn;7303:1385
BEL6MU;tasabancofrances-vpn;10834:83143
BEL6MU;vrf-ftth-toip-symphonica;7303:200026
VLU3MU;bna-vpn;7303:149
VLU3MU;ypf-vpn;7303:302
VLU3MU;hsbc-vpn;7303:279
VLU3MU;toip-vpn;7303:1004
VLU3MU;vpn-gpba;7303:26:00
VLU3MU;clama-vpn;7303:459
VLU3MU;sepsa-vpn;7303:256
VLU3MU;silva-vpn;7303:200200
VLU3MU;vpn-bisel;7303:67
VLU3MU;vpn-prima;7303:23:00
VLU3MU;arcore-vpn;7303:739
VLU3MU;bonesi-vpn;7303:73
VLU3MU;carnoa-vpn;7303:2506
VLU3MU;comfye-vpn;7303:200015
VLU3MU;correo-vpn;7303:707
VLU3MU;diaarg-vpn;7303:594
VLU3MU;ituran-vpn;7303:546
VLU3MU;maxima-vpn;7303:507
VLU3MU;simons-vpn;7303:1219
VLU3MU;solido-vpn;7303:479
VLU3MU;vpn-gire-1;7303:81
VLU3MU;vpn-jockey;7303:46:00
VLU3MU;fravega-vpn;7303:1059
VLU3MU;munisam-vpn;7303:90
VLU3MU;ospecom-vpn;7303:103
VLU3MU;siprosa-vpn;7303:671
VLU3MU;vpn-advance;7303:42:00
VLU3MU;vpn-wpatron;7303:129
VLU3MU;citibank-vpn;7303:509
VLU3MU;supermat-vpn;7303:333
VLU3MU;vpn-williner;7303:157
VLU3MU;asmuprofa-vpn;7303:1017
VLU3MU;dirnacvia-vpn;7303:1165
VLU3MU;garbarino-vpn;7303:182
VLU3MU;hipodromo-vpn;7303:162
VLU3MU;iptv-dhcp-vpn;7303:2986
VLU3MU;supermat2-vpn;7303:434
VLU3MU;tasabapro-vpn;10834:97015
VLU3MU;vpn-credicoop;7303:78
VLU3MU;alpargatas-vpn;7303:601
VLU3MU;arcosdora2-vpn;7303:1154
VLU3MU;balcarce54-vpn;7303:1119
VLU3MU;bcogalicia-vpn;7303:347
VLU3MU;vpn-vestiditos;7303:127
VLU3MU;argentconec-vpn;7303:1226
VLU3MU;cjuleriaque-vpn;7303:980
VLU3MU;hipodromo-3-vpn;7303:433
VLU3MU;ncentralarg-vpn;7303:249
VLU3MU;wifioffload-vpn;7303:1312
VLU3MU;fmiguellillo-vpn;7303:200054
VLU3MU;swissmedical-vpn;7303:970
VLU3MU;unigestopems-vpn;7303:1471
VLU3MU;vpn-ges-sspopusa;7303:21:00
VLU3MU;vpn-gestion-adsl;200:01:00
VLU3MU;vpn-ngn-nacional;7303:58:00
VLU3MU;vpn-tdata-bcorio;200:12:00
VLU3MU;poderjudicial-vpn;7303:454
VLU3MU;rentastucuman-vpn;7303:152
VLU3MU;darclibertador-vpn;7303:147
VLU3MU;ldip-internet-TASA;7303:666
VLU3MU;garbacontenidos-vpn;7303:1385
VLU3MU;tasabancofrances-vpn;10834:83143
VLU3MU;vrf-ftth-toip-symphonica;7303:200026
VLU3MU;vpn-ldip-tasa-10834116638;10834:116638
VLU3MU;vpn-ldip-tasa-10834:133984;10834:133984
ROA1.MRO1;VRF-FCORP-EDENOR;10481:11077
ROA1.MRO1;VRF-FCORP-NSS-SA;10481:11202
ROA1.MRO1;VRF-FCORP-YPF-SA;10481:11002
ROA1.MRO1;VRF-FCORP-COTO-SA;10481:11069
ROA1.MRO1;VRF-FCORP-RENAULT;10481:11015
ROA1.MRO1;VRF-CABLE-CYCLADES;10481:90104
ROA1.MRO1;VRF-CABLE-MHUB-DCN;10481:90107
ROA1.MRO1;VRF-CABLE-WIMAX-OM;10481:90001
ROA1.MRO1;VRF-CABLE-CMTS-MRO1;10481:10154
ROA1.MRO1;VRF-FCORP-COPPEL-SA;10481:11287
ROA1.MRO1;VRF-FCORP-LUXCAR-SA;10481:11339
ROA1.MRO1;VRF-FCORP-COTO_DOMOS;10481:11415
ROA1.MRO1;VRF-FCORP-DANAIDE-SA;10481:11310
ROA1.MRO1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.MRO1;VRF-CABLE-WIMAX-R6-R4;10481:90006
ROA1.MRO1;VRF-FCORP-AUTOTROL-SA;10481:11420
ROA1.MRO1;VRF-FCORP-CENSOSUD-SA;10481:11050
ROA1.MRO1;VRF-FCORP-FARMCITY-SA;10481:11072
ROA1.MRO1;VRF-FCORP-YPF-TERCEROS;10481:11435
ROA1.MRO1;VRF-CABLE-PROV-FRONTERA;10481:40040
ROA1.MRO1;VRF-FCORP-STANDARD-BANK;10481:11063
ROA1.MRO1;VRF-FCORP-BANCO-MACRO-SA;10481:11082
ROA1.MRO1;VRF-FCORP-FRAVEGA-SACIEI;10481:11114
ROA1.MRO1;VRF-FCORP-MAXICONSUMO-SA;10481:11281
ROA1.MRO1;VRF-FCORP-TARABORELLI-SA;10481:11407
ROA1.MRO1;VRF-FTTH-TOIP-SYMPHONICA;7303:200026
ROA1.MRO1;VRF-VIDEO-VOD-VIDEO-APEX;10481:90021
ROA1.MRO1;VRF-FCORP-BANCO-ITAU-TECO;7303:1162
ROA1.MRO1;VRF-FCORP-BAN_GAS_NATURAL;10481:11301
ROA1.MRO1;VRF-CABLE-WIMAX-SKY-GLOBAL;10481:90015
ROA1.MRO1;VRF-FCORP-BANCO-GALICIA-SA;10481:11132
ROA1.MRO1;VRF-FCORP-COLCAR-MERBUS-SA;10481:11416
ROA1.MRO1;VRF-FCORP-DYNAMIC-TECH-SRL;10481:11258
ROA1.MRO1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117
ROA1.MRO1;VRF-VIDEO-VOD-GESTION-APEX;10481:90023
ROA1.MRO1;VRF-FCORP-BANCO-COLUMBIA-SA;10481:11401
ROA1.MRO1;VRF-FCORP-CONS-MAGISTRATURA;10481:11044
ROA1.MRO1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28154
ROA1.MRO1;VRF-FCORP-CORREO-ANDREANI-SA;10481:11136
ROA1.MRO1;VRF-FCORP-DIA-ARG-SA-TIENDAS;10481:11084
ROA1.MRO1;VRF-FCORP-FAST-FOOD-SUDAM-SA;10481:11027
ROA1.MRO1;VRF-FCORP-MUTUAL-SANCOR-TECO;7303:523
ROA1.MRO1;VRF-FCORP-BANCO-HIPOTECARIO-2;10481:11175
ROA1.MRO1;VRF-FCORP-DYNAMIC-TEC-SRL-SRT;10481:11338
ROA1.MRO1;VRF-FCORP-PJ-CONS-MAGIST-TECO;7303:115
ROA1.MRO1;VRF-FCORP-PODER-JUD-ADMIN-JUS;10481:11142
ROA1.MRO1;VRF-FCORP-ARCOS-DORADOS-ARG-SA;10481:11121
ROA1.MRO1;VRF-FCORP-BANCO-HIPOTECARIO-SA;10481:11061
ROA1.MRO1;VRF-FCORP-BANCO-SUPERVIELLE-SA;10481:11020
ROA1.MRO1;VRF-FCORP-SERV-ELEC-DE-PAGO-SA;10481:11057
ROA1.MRO1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27154
ROA1.MRO1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25154
ROA1.MRO1;VRF-FCORP-BBVA-BANCO-FRANCES-SA;10481:11093
ROA1.MRO1;VRF-FCORP-JEFATURA-DE-GAB-SALUD;10481:11389
ROA1.MRO1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24154
ROA1.MRO1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26154
ROA1.MRO1;VRF-FCORP-COMP-FINANCIERA-ARG-SA;10481:11008
ROA1.LIN1;VRF-CABLE-CYCLADES;10481:90104
ROA1.LIN1;VRF-CABLE-MHUB-DCN;10481:90107
ROA1.LIN1;VRF-CABLE-CMTS-LIN1;10481:10077
ROA1.LIN1;INTER-AS-CLARO-15008;10481:15008
ROA1.LIN1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.LIN1;VRF-FCORP-BANCO-GALICIA-SA;10481:11132
ROA1.LIN1;VRF-FCORP-BANCO-SANTANDER-RIO;10481:11221
ROA1.LIN1;VRF-FCORP-MOL-RIO-DE-LA-PLATA;10481:11155
ROA1.PRN1;VRF-FCORP-UTN;10481:11009
ROA1.PRN1;VRF-FCORP-OSDE;10481:11133
ROA1.PRN1;VRF-FCORP-BOLDT;10481:11011
ROA1.PRN1;VRF-FCORP-YPF-SA;10481:11002
ROA1.PRN1;VRF-FCORP-AYEX-SA;10481:11293
ROA1.PRN1;VRF-FCORP-COTO-SA;10481:11069
ROA1.PRN1;VRF-FCORP-LA-CAJA;10481:11102
ROA1.PRN1;VRF-FCORP-WALMART;7303:200106
ROA1.PRN1;VRF-CABLE-CYCLADES;10481:90104
ROA1.PRN1;VRF-CABLE-MHUB-DCN;10481:90107
ROA1.PRN1;VRF-CABLE-CMTS-PRN1;10481:10083
ROA1.PRN1;VRF-FCORP-AFIP-TECO;7303:324
ROA1.PRN1;VRF-FCORP-PAMI-TECO;7303:1185
ROA1.PRN1;VRF-FCORP-COTO_DOMOS;10481:11415
ROA1.PRN1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.PRN1;VRF-FCORP-SENASA-TECO;7303:260
ROA1.PRN1;VRF-FCORP-AMPJBON-TECO;7303:1262
ROA1.PRN1;VRF-FCORP-NEOGAME-TECO;7303:2879
ROA1.PRN1;VRF-FCORP-YPF-TERCEROS;10481:11435
ROA1.PRN1;VRF-FCORP-BANCO-ICBC-SA;10481:11063
ROA1.PRN1;VRF-FCORP-DERUDDER-TECO;7303:252
ROA1.PRN1;VRF-FCORP-ERIOSFED-TECO;7303:200178
ROA1.PRN1;VRF-FCORP-BANCO-MACRO-SA;10481:11082
ROA1.PRN1;VRF-FCORP-FRAVEGA-SACIEI;10481:11114
ROA1.PRN1;VRF-VIDEO-VOD-VIDEO-APEX;10481:90021
ROA1.PRN1;VRF-FCORP-BBVA-FRANCES-SA;10481:11093
ROA1.PRN1;VRF-FCORP-RIBEIRO-SACIFAI;10481:11280
ROA1.PRN1;VRF-NUEVOBANCO-ERIOS-TECO;7303:1109
ROA1.PRN1;VRF-FCORP-ARCOS-DORADOS-SA;10481:11121
ROA1.PRN1;VRF-FCORP-BANCO-GALICIA-SA;10481:11132
ROA1.PRN1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117
ROA1.PRN1;VRF-VIDEO-VOD-GESTION-APEX;10481:90023
ROA1.PRN1;VRF-FCORP-BANCO-COLUMBIA-SA;10481:11401
ROA1.PRN1;VRF-FCORP-IMPRONTA-SOL-TECO;7303:952
ROA1.PRN1;VRF-FCORP-SEGUROS-RIVADAVIA;10481:11016
ROA1.PRN1;VRF-FCORP-SUPERMERCADOS-DIA;10481:11097
ROA1.PRN1;VRF-FCORP-CORREO-ANDREANI-SA;10481:11136
ROA1.PRN1;VRF-FCORP-PJ-CONS-MAGIST-TECO;7303:115
ROA1.PRN1;VRF-FCORP-SEGUROS-EL-NORTE-SA;10481:11205
ROA1.PRN1;VRF-FCORP-DROGUERIA-DEL-SUD-SA;10481:11267
ROA1.PRN1;VRF-FCORP-SEGUROS-NORTE-SA-TECO;7303:2984
ROA1.PRN1;VRF-FCORP-COMP-FINANCIERA-ARG-SA;10481:11008
ROA1.PRN1;VRF-FCORP-MINISTERIO-FISCAL-TECO;7303:3000
ROA1.PRN1;VRF-FCORP-SECURITAS-ARGENTINA-SA;10481:11068
ROA1.PRN1;VRF-FCORP-TRANSPORTE-INFORMACION;10481:11190
ROS6.SLO1;VRF-SecGW;7303:200116
ROS6.SLO1;VRF-GECOMTEL;7303:200705
ROS6.SLO1;VRF-GES-SSPOPUSA;7303:200707
ROS6.SLO1;VRF-PERSONAL-OAM;7303:200704
ROS6.SLO1;VRF-CABLE-NOC-PAL;10481:90138
ROS6.SLO1;VRF-VIDEO-FLOW-CDN;10481:90024
ROS6.SLO1;VRF-PERSONAL-GOMRAN;7303:200703
ROS6.SLO1;VRF-PATCHERAS_QUAREO;10481:90130
ROS6.SLO1;VRF-VIDEO-IRDETO-KMS;10481:40010
ROS6.SLO1;VRF-VIDEO-IRDETO-SMS;10481:40011
ROS6.SLO1;VRF-CABLE-TRONCAL-SIP;10481:40030
ROS6.SLO1;VRF-LTE-FORTINET-MGMT;10481:64862
ROS6.SLO1;VRF-FORTINET-REDISTRIB;10481:64898
ROS6.SLO1;VRF-CABLE-PROV-FRONTERA;10481:40040
ROS6.SLO1;VRF-FLOW-PY-DISTRIBUCION;10481:90149
ROS6.SLO1;VRF-FORTINET-VDOM-ROUTER;10481:64864
ROS6.SLO1;VRF-FTTH-TOIP-SYMPHONICA;7303:200026
ROS6.SLO1;VRF-CABLE-PROCERA-BACKEND;10481:90125
ROS6.SLO1;VRF-CABLE-PROCERA-GESTION;10481:90122
ROS6.SLO1;VRF-FRONTERA-PARAGUAY-ACS;7303:200110
ROS6.SLO1;VRF-LTE-FORTINET-SERVICIOS;10481:64863
ROS6.SLO1;VRF-FORTINET-FRONTERA-VIDEO;10481:64854
ROS6.SLO1;VRF-VIDEO-PROSTREAM-CAS-DTH;10481:40012
ROS6.SLO1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28042
ROS6.SLO1;VRF-VIDEO-CABEZAL-FIP-VCAS-PRE;10481:40008
ROS6.SLO1;VRF-VIDEO-CABEZAL-FULL-IP-VCAS;10481:40007
ROS6.SLO1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27042
ROS6.SLO1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25042
ROS6.SLO1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26042
ROS6.SLO1;VRF-FORTINET-INTERCONEXION-VDOMs;10481:64899
ROA1.CNS1;VRF-CABLE-CYCLADES;10481:90104
ROA1.CNS1;VRF-CABLE-MHUB-DCN;10481:90107
ROA1.CNS1;VRF-CABLE-CMTS-CNS1;10481:10133
ROA1.CNS1;INTER-AS-CLARO-15008;10481:15008
ROA1.CNS1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.CNS1;VRF-CABLE-FTTH-GESTION;10481:90001
ROA1.CNS1;VRF-FTTH-TOIP-SYMPHONICA;7303:200026
ROA1.CNS1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117
ROA1.CNS1;VRF-FCORP-SUPERMERCADOS-DIA;10481:11084
ROA1.CNS1;VRF-FCORP-BANCO-DE-GALICIA-S-A;10481:11132
ROA1.CNS1;VRF-FCORP-JEFATURA-GABINETESALUD;10481:11389
ROA1.POS1;VRF-FCORP-OSDE;10481:11133
ROA1.POS1;VRF-FCORP-OCA-SA;10481:11148
ROA1.POS1;VRF-FCORP-YPF-SA;10481:11002
ROA1.POS1;VRF-FCORP-ZURICH;10481:11065
ROA1.POS1;VRF-WALMART-TECO;7303:790
ROA1.POS1;VRF-FCORP-LA-CAJA;10481:11102
ROA1.POS1;VRF-CABLE-CYCLADES;10481:90104
ROA1.POS1;VRF-CABLE-MHUB-DCN;10481:90107
ROA1.POS1;VRF-CABLE-CMTS-POS1;10481:10086
ROA1.POS1;VRF-CABLE-CMTS-POS2;10481:10386
ROA1.POS1;VRF-FCORP-GARBARINO;10481:11070
ROA1.POS1;VRF-FCORP-ROYAL-SUN;10481:11119
ROA1.POS1;INTER-AS-CLARO-15007;10481:15007
ROA1.POS1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.POS1;VRF-FCORP-SITRON-TECO;7303:112
ROA1.POS1;VRF-FCORP-SUPER-MAKRO;10481:11101
ROA1.POS1;VRF-FCORP-FARMACITY-SA;10481:11072
ROA1.POS1;VRF-FCORP-UNIMACO-TECO;7303:1222
ROA1.POS1;VRF-FCORP-STANDARD-BANK;10481:11063
ROA1.POS1;VRF-FCORP-BANCO-MACRO-SA;10481:11082
ROA1.POS1;VRF-FCORP-FRAVEGA-SACIEI;10481:11114
ROA1.POS1;VRF-FCORP-GARRUCHOS-TECO;7303:1276
ROA1.POS1;VRF-FTTH-TOIP-SYMPHONICA;7303:200026
ROA1.POS1;VRF-FCORP-BOLDT-GAMING-SA;10481:11011
ROA1.POS1;VRF-FCORP-DYNAMIC-SRL-SRT;10481:11338
ROA1.POS1;VRF-FCORP-GARRUCHOS-DDEIP;7303:200214
ROA1.POS1;VRF-FCORP-RIBEIRO-SACIFAI;10481:11280
ROA1.POS1;VRF-FCORP-SMARTMATIC-TECO;7303:9818
ROA1.POS1;VRF-FCORP-ARCOS-DORADOS-SA;10481:11121
ROA1.POS1;VRF-FCORP-BANCO-FRANCES-SA;10481:11093
ROA1.POS1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117
ROA1.POS1;VRF-FCORP-BANCO-COLUMBIA-SA;10481:11401
ROA1.POS1;VRF-FCORP-BANCO-HIPOTECARIO;10481:11061
ROA1.POS1;VRF-FCORP-CONS-MAGISTRATURA;10481:11044
ROA1.POS1;VRF-FCORP-SEGUROS-RIVADAVIA;10481:11016
ROA1.POS1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28086
ROA1.POS1;VRF-FCORP-BANCO-PATAGONIA-SA;10481:11103
ROA1.POS1;VRF-FCORP-CIA-FINANCIERA-ARG;10481:11008
ROA1.POS1;VRF-FCORP-CORREO-ANDREANI-SA;10481:11136
ROA1.POS1;VRF-FCORP-IMPRONTA-SOLUTIONS;7303:952
ROA1.POS1;VRF-CABLE-GEST-SDH-HUAWEI-ACC;10481:29088
ROA1.POS1;VRF-FCORP-PJ-CONS-MAGIST-TECO;7303:115
ROA1.POS1;VRF-FCORP-TRANSPORTES-CAUDALES;10481:11049
ROA1.POS1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27086
ROA1.POS1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25086
ROA1.POS1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24086
ROA1.POS1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26086
ROA1.POS1;VRF-FCORP-MINISTERIO-FISCAL-TECO;7303:3000
ROA1.POS1;VRF-FCORP-NSS-SA-LIBERTADOR-4101;10481:11202
ROA1.CBS1;VRF-CABLE-CYCLADES;10481:90104
ROA1.CBS1;VRF-CABLE-MHUB-DCN;10481:90107
ROA1.CBS1;VRF-CABLE-CMTS-CBS1;10481:10072
ROA1.CBS1;VRF-CABLE-CMTS-CBS2;10481:10372
ROA1.CBS1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.CBS1;VRF-VIDEO-VOD-VIDEO-APEX;10481:90021
ROA1.CBS1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117
ROA1.CBS1;VRF-VIDEO-VOD-GESTION-APEX;10481:90023
ROA1.LAN1;VRF-CABLE-CYCLADES;10481:90104
ROA1.LAN1;VRF-CABLE-MHUB-DCN;10481:90107
ROA1.LAN1;VRF-CABLE-CMTS-LAN1;10481:10048
ROA1.LAN1;VRF-CABLE-CMTS-LAN2;10481:10348
ROA1.LAN1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.LAN1;VRF-VIDEO-VOD-VIDEO-APEX;10481:90021
ROA1.LAN1;VRF-CABLE-PROCERA-BACKEND;10481:90125
ROA1.LAN1;VRF-CABLE-PROCERA-GESTION;10481:90124
ROA1.LAN1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117
ROA1.LAN1;VRF-VIDEO-VOD-GESTION-APEX;10481:90023
ROA1.LAN1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28048
ROA1.LAN1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27048
ROA1.LAN1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25048
ROA1.LAN1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24048
ROA1.LAN1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26048
ROA1.PLS1;VRF-CABLE-DCN-MHUB;10481:90107
ROA1.PLS1;VRF-CABLE-CMTS-PLS1;10481:10026
ROA1.PLS1;VRF-CABLE-TOIP-ACCESO;10481:40032
ROA1.PLS1;VRF-CABLE-DCN-CYCLADES;10481:90104
ROA1.PLS1;VRF-FTTH-TOIP-SYMPHONICA;7303:200026
ROA1.PLS1;VRF-CABLE-PROCERA-BACKEND;10481:90125
ROA1.PLS1;VRF-CABLE-PROCERA-GESTION;10481:90124
ROA1.PLS1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117
ROA1.PLS1;VRF-VIDEO-VOD-MOTOROLA-APEX;10481:90023
ROA1.PLS1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28026
ROA1.PLS1;VRF-VIDEO-VOD-VIDEO-APEX-MDS;10481:90021
ROA1.PLS1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27026
ROA1.PLS1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25026
ROA1.PLS1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24026
ROA1.PLS1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26026
ROA1.CAL1;VRF-FCORP-IOMA;10481:11270
